COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
General Electric,Imagination at Work.,20,General Electric,Industrials,Industrial Conglomerates,,
General Growth Properties Inc.,"Fully integrated, self managed and self administered REIT",60,General Growth Properties Inc.,Real Estate,Retail REITs,8,
General Mills,Nourishing Lives.,30,General Mills,Consumer Staples,Packaged Foods & Meats,2,
General Motors,People in motion.,25,General Motors,Consumer Discretionary,Automobile Manufacturers,3,
Genuine Parts,Get the good stuff.,20,Genuine Parts,Industrials,Specialty Stores,4,
Gilead Sciences,Advancing therapeutics. Improving lives.,35,Gilead Sciences,Health Care,Biotechnology,4,
GlaxoSmithKline,"Do more, feel better, live longer.",35,GlaxoSmithKline,Health Care,,,
GM ,Find new roads,25,,Consumer Discretionary,,,
Godrej locks, PEACE OF MIND.GUARANTEED,25,,Consumer Discretionary,,,
Goldfish,The snack that smiles back.,30,Goldfish,Consumer Staples,,,
Goldman Sachs Group,Our client’s intrests always come first.,40,Goldman Sachs Group,Financials,Investment Banking & Brokerage,6,
Goodyear Tire & Rubber,More Driven,25,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,2,
Grainger (W.W.) Inc.,For the ones who get it done.,20,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,7,
Gucci, Quality is remembered long after the price is forgotten,25,,Consumer Discretionary,,,
Haier, Inspired living,25,,Consumer Discretionary,,,
Halliburton Co.,Unleash the energy,10,Halliburton Co.,Energy,Oil & Gas Equipment & Services,3,
Hanesbrands Inc,Look who we’ve got our Hanes on now,25,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",8,
Harley-Davidson," american by birth, rebel by choice",25,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,8,
Harman Int’l Industries,Expect Brilliance,20,Harman Int’l Industries,Industrials,,2,
Harris Corporation,technology to connect inform and protect,20,Harris Corporation,Industrials,Communications Equipment,4,
Harrod's retailer, London ENTER A DIFFERENT WORLD,25,,Consumer Discretionary,,,
Hartford Financial Svc.Gp.,Always Thinking Ahead.,40,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,3,
Hasbro Inc.,Boy Oh Boy! It’s A Hasbro Toy!,25,Hasbro Inc.,Consumer Discretionary,Leisure Products,7,
HCA Holdings,"It’s you, it’s me, it’s all of us",35,HCA Holdings,Health Care,Health Care Facilities,8,
HCP Inc.,Strategy. Execution. Results.,60,HCP Inc.,Real Estate,Health Care REITs,3,
Head & Shoulders,You never get a second chance to make a first impression.,25,Head & Shoulders,Consumer Discretionary,,,
Heinz Baked Beans,Beanz Meanz Heinz.,30,Heinz Baked Beans,Consumer Staples,,,
Hellmann's,It wouldn't be home without Hellmann's.,30,Hellmann's,Consumer Staples,,,
Helmerich & Payne,Integrity. Respect.Teamwork. Creativity.,10,Helmerich & Payne,Energy,Oil & Gas Drilling,3,
Henry Schein,We will help you get there,35,Henry Schein,Health Care,Health Care Distributors,6,
Hess Corporation,Energy on the move,10,Hess Corporation,Energy,Integrated Oil & Gas,4,
Hewlett Packard Enterprise,Accelerating Next,45,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",2,
Hitachi, Inspire the Next,25,,Consumer Discretionary,,,
Hologic,The Science of Sure,35,Hologic,Health Care,Health Care Equipment,4,
Home Depot,More Saving. More Doing.,25,Home Depot,Consumer Discretionary,Home Improvement Retail,4,
HOME DEPOT , You can do it. We can Help.,25,Home Depot,Consumer Discretionary,Home Improvement Retail,,
HONDA , The Power of Dreams,25,,Consumer Discretionary,,,
Honeywell Int’l Inc.,"If we say it, we’ll do it",20,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,7,
Hormel Foods Corp.,Life Better Served,30,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,3,
Host Hotels & Resorts,We bring the city to life,60,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,6,
HP Inc.,Keep reinventing.,45,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",2,
HSBC,The world's local bank.,40,HSBC,Financials,Regional Banks,,
Hughes Software, Think skywards,45,,Information Technology,,,
Humana Inc.,Guidance when you need it most.,35,Humana Inc.,Health Care,Managed Health Care,6,
Huntington Bancshares,A bank invested in people.,40,Huntington Bancshares,Financials,Regional Banks,5,
Hutch Cellular India,"Wherever you go, our network follows",50,,Telecommunication Services,,,
Hyundai, Drive your way,25,,Consumer Discretionary,,,
IBM , ON DEMAND,45,,Information Technology,,,
IBM ," "" I think, therefore IBM.""",45,,Information Technology,,,
Idea Cellular,An idea can change your life.,50,Idea Cellular,Telecommunication Services,,,
iFlex Solutions,Empowering Financial Institutions Globally.,40,iFlex Solutions,Financials,,,
Illinois Tool Works,When customers depend on us… We’re there.,20,Illinois Tool Works,Industrials,Industrial Machinery,7,
Illumina Inc,New thinking.,35,Illumina Inc,Health Care,Life Sciences Tools & Services,2,
Infosys ," "" Powered by Intellect, Driven by Values; Improve your odds with Infosys Predictability""",45,,Information Technology,,,
Ingersoll-Rand PLC,Inspiring progress,20,Ingersoll-Rand PLC,Industrials,Industrial Machinery,2,
Intel,Intel Inside,45,Intel Corp.,Information Technology,Semiconductors,3,
Intercontinental Exchange,Trade the world.,40,Intercontinental Exchange,Financials,Financial Exchanges & Data,3,
International Bus. Machines,Let’s build a smarter planet,45,International Business Machines,Information Technology,IT Consulting & Other Services,5,
International Paper,We Will Not Fail Our Customers!!,15,International Paper,Materials,Paper Packaging,6,
Interpublic Group,A global leader in modern marketing solutions,25,Interpublic Group,Consumer Discretionary,Advertising,7,
Intl Flavors & Fragrances,Engaging The Senses.,15,Intl Flavors & Fragrances,Materials,Specialty Chemicals,3,
Intuit Inc.,"Small Business, rejoice",45,Intuit Inc.,Information Technology,Internet Software & Services,3,
Intuitive Surgical Inc.,Improving patient outcomes,35,Intuitive Surgical Inc.,Health Care,Health Care Equipment,3,
Invesco Ltd.,Explore intentional investing with Invesco,40,Invesco Ltd.,Financials,Asset Management & Custody Banks,5,
IOCL , Bringing Energy to Life,10,,,,,
Iron Mountain Incorporated,The Leader in Records & Information Management,45,Iron Mountain Incorporated,Information Technology, ,7,
Isaly Dairy Company's Klondike bar,What would you do for a Klondike bar?,30,Isaly Dairy Company's Klondike bar,Consumer Staples,,,
Ivory Soap,Ivory Soap - 9944/100% Pure.,25,Ivory Soap,Consumer Discretionary,,,
J. B. Hunt Transport Services,The Transportation Logistics Company,20,J. B. Hunt Transport Services,Industrials,Trucking,4,
Jack FM,Playing what we want.,25,Jack FM,Consumer Discretionary,Broadcasting,,
Jacobs Engineering Group,People are our greatest asset,20,Jacobs Engineering Group,Industrials,Construction & Engineering,5,
Jell-O,There's always room for Jell-O.,30,Jell-O,Consumer Staples,,,
Jet Airways , The Joy of Flying,20,,Industrials,,,
Jobsahead.com, FILL IN YOUR AMBITION,25,,Consumer Discretionary,,,
Johnnie Walker, whiskey Keep Walking,30,,Consumer Staples,,,
Johnson & Johnson,Your Druggist is More Than a Merchant,35,Johnson & Johnson,Health Care,Health Care Equipment,7,
Johnson Controls,Ingenuity Welcome.,20,Johnson Controls International,Industrials,Building Products,2,
JPMorgan Chase & Co.,The right relationship is everything,40,JPMorgan Chase & Co.,Financials,Diversified Banks,5,
Juniper Networks,The New Network Is Here,45,Juniper Networks,Information Technology,Communications Equipment,5,
JVC , The Perfect Experience,25,,Consumer Discretionary,,,
Kansas City Southern,The shortest route from Kansas City to salt water.,20,Kansas City Southern,Industrials,Railroads,9,
Kay Jewelers,Every kiss begins with Kay,25,Kay Jewelers,Consumer Discretionary,,,
Kellogg Co.,See You at Breakfast,30,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,4,
Kentucky Fried Chicken,Finger lickin’ good,25,KFC,Consumer Discretionary,Restaurants,,
KeyCorp,Achieve anything.,40,KeyCorp,Financials,Regional Banks,2,
KFC,We do chicken right!,25,KFC,Consumer Discretionary,Restaurants,,
Kimberly-Clark,It feels good to feel.,30,Kimberly-Clark,Consumer Staples,Household Products,5,
Kimco Realty,"Integrity, Creativity, Stability.",60,Kimco Realty,Real Estate,Retail REITs,3,
Kinder Morgan,A different kind of energy company,10,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,6,
Kingfisher Airlines , Fly the good times,20,,Industrials,,,
Kit Kat,"Give me a break, Give me a kit Kat",30,Kit Kat,Consumer Staples, ,,
Kitchen Cabinet Kings,"Cabinets fit for royalty, but affordable for all!",25,Kitchen Cabinet Kings,Consumer Discretionary,,,
KLA-Tencor Corp.,Accelerating Yield,20,KLA-Tencor Corp.,Industrials,Semiconductor Equipment,2,
KMART , The stuff of life.,30,,Consumer Staples,,,
Kohl’s Corp.,“Expect Great Things”,25,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,3,
Kotak , Think Investments. Think Kotak.,40,,Financials,,,
Kraft Heinz Co,A little taste of heaven.,30,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,5,
KROGER , Costs less to get more,30,Kroger Co.,Consumer Staples,Food Retail,4,
Kroger Co.,"Right Store, Right Price",30,Kroger Co.,Consumer Staples,Food Retail,4,
L Brands Inc.,Straight from the heartland,25,L Brands Inc.,Consumer Discretionary,Apparel Retail,4,
L’Oreal,Because you’re worth it,25,,Consumer Discretionary,,,
L-3 Communications Holdings,From Vision To Reality,20,L-3 Communications Holdings,Industrials,Aerospace & Defense,4,
Laboratory Corp. of America Holding,Innovation. Quality. Convenience.,35,Laboratory Corp. of America Holding,Health Care,Health Care Services,3,
Lam Research,Changing the value equation,45,Lam Research,Information Technology,Semiconductor Equipment,4,
LARSEN and TOUBRO , We make things which make India proud,20,,Industrials,,,
LEE , The jeans that built America,25,,Consumer Discretionary,,,
Legg Mason,Global Asset Management,40,Legg Mason,Financials,,3,
Leggett & Platt,Enhancing people’s lives for over 130 years.,20,Leggett & Platt,Industrials,Home Furnishings,7,
Lehman Brothers , Where Vision Gets Built,40,,Financials,,,
Lennar Corp.,Everything’s Included.,25,Lennar Corp.,Consumer Discretionary,Homebuilding,2,
Lenovo,We are building a new technology company.,45,Lenovo,Information Technology,,,
Leucadia National Corp.,Clients First-Always,40,Leucadia National Corp.,Financials,,2,
Level 3 Communications,Building a Better Future,50,Level 3 Communications,Telecommunication Services,,4,
LG,Life’s Good,25,,Consumer Discretionary,,,
Lilly (Eli) & Co.,Innovation is personal,35,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,3,
Lincoln National,Hello Future,40,Lincoln National,Financials,Multi-line Insurance,2,
Linear Technology Corp.,Enabling an Intelligent Planet,20,Linear Technology Corp.,Industrials,,4,
Little Caesars,Pizza! Pizza!,25,Little Caesars,Consumer Discretionary,,,
Lockheed Martin Corp.,We Never Forget Who We Are Working For,20,Lockheed Martin Corp.,Industrials,Aerospace & Defense,8,
Loews Corp.,"EXPERIENCED, FORWARD, THINKING",40,Loews Corp.,Financials,Multi-line Insurance,3,
Lowe’s Cos.,Love Where You Live,25,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,4,
Lowe's,Improving home improvement.,25,Lowe's,Consumer Discretionary,,,
Lowe's,Let's build something together.,25,Lowe's,Consumer Discretionary,,,
Lowe's,Never stop improving.,25,Lowe's,Consumer Discretionary,,,
Lufthansa, There is no better way to fly,20,,Industrials,,,
LyondellBasell,Fuelling the power to within,15,LyondellBasell,Materials,Specialty Chemicals,5,
M&Ms,"Melts in your mouth, not in your hands.",30,M&Ms,Consumer Staples,,,
M&T Bank Corp.,Understanding what’s important,40,M&T Bank Corp.,Financials,Regional Banks,3,
Macerich,We create shopping experiences.,60,Macerich,Real Estate,Retail REITs,4,
Macy’s Inc.,Way to shop!,25,Macy's Inc.,Consumer Discretionary,Department Stores,3,
Malaysian Airlines , Going Beyond Expectations,20,,Industrials,,,
Mallinckrodt Plc,Our source. Your supply.,35,Mallinckrodt Plc,Health Care,,4,
Marathon Oil Corp.,Going further. Doing more.,10,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,4,
Marathon Petroleum,Going further. Doing more.,10,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,4,
Marriott Int’l.,Live Like a Local,25,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",4,
Marsh & McLennan,Get there faster,40,Marsh & McLennan,Financials,Insurance Brokers,3,
Martin Marietta Materials,It’s not just what we make. It’s what we make possible.,15,Martin Marietta Materials,Materials,Construction Materials,11,
MARUTI SUZUKI, Count on us,25,,Consumer Discretionary,,,
Masco Corp.,Building Supplies,20,Masco Corp.,Industrials,Building Products,2,
Master card , There are some things money can't buy. For everything else there'sÿMASTERCARD.,45,,Information Technology,,,
Mastercard Inc.,Heart of Commerce,45,Mastercard Inc.,Information Technology,Internet Software & Services,3,
Mattel Inc.,The World’s Mattel,25,Mattel Inc.,Consumer Discretionary,Leisure Products,3,
Max NewYork Life Insurance , Your Partner for life,40,,Financials,,,
Maxwell House coffee,Good to the last drop.,30,Maxwell House coffee,Consumer Staples,,,
Maybelline,Maybe she's born with it. Maybe it's Maybelline.,25,Maybelline,Consumer Discretionary,,,
McCormick & Co.,McCormick Brings Passion to Flavor™,30,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,5,
McDonald’s Corp.,I’m Lovin’ It,25,McDonald's Corp.,Consumer Discretionary,Restaurants,3,
McDonald's,"Food, folks and fun.",25,McDonald's,Consumer Discretionary,Restaurants,,
McDonald's,Have you had your break today?,25,McDonald's,Consumer Discretionary,Restaurants,,
McDonald's,We love to see you smile.,25,McDonald's,Consumer Discretionary,Restaurants,,
McDonald's,You deserve a break today.,25,McDonald's,Consumer Discretionary,Restaurants,,
McDowells Signature , The New Sign of Success.,30,,Consumer Staples,,,
McKesson Corp.,Empowering Healthcare.,35,McKesson Corp.,Health Care,Health Care Distributors,2,
Medtronic plc,Alleviating Pain • Restoring Health • Extending Life,35,Medtronic plc,Health Care,Health Care Equipment,8,
Merck & Co.,Committed to making a difference.,35,Merck & Co.,Health Care,Pharmaceuticals,5,
MetLife Inc.,It’s at times like this that Metlife sets itself apart.,40,MetLife Inc.,Financials,Life & Health Insurance,10,
METRO , The spirit of Commerce,30,,Consumer Staples,,,
Metropolitan Life Insurance Company or Metlife. , Have You Met Life Today,40,,Financials,,,
Michael Kors Holdings,"A chic, luxurious, sexy fragrance for women.",25,Michael Kors Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7,
Microchip Technology,"anything that revolves, anything that moves",45,Microchip Technology,Information Technology,Semiconductors,6,
Micron Technology,Performance. Power. Reliability,45,Micron Technology,Information Technology,Semiconductors,3,
Microsoft Corp.,Your Potential. Our Passion.,45,Microsoft Corp.,Information Technology,Systems Software,4,
MITTAL STEEL , Shaping the future of steel,15,,Materials,,,
Mohawk Industries,It’s more than a floor.,25,Mohawk Industries,Consumer Discretionary,Home Furnishings,5,
Molson Coors Brewing Company,The Banquet Beer.,30,Molson Coors Brewing Company,Consumer Staples,Brewers,3,
Mondelez International,Make today delicious,30,Mondelez International,Consumer Staples,Packaged Foods & Meats,3,
Monster Beverage,Fuel Your Fire,30,Monster Beverage,Consumer Staples,Soft Drinks,3,
Monster.com , Never Settle,25,,Consumer Discretionary,,,
Moody’s Corp,"Small Business, Credit Index",40,Moody's Corp,Financials,Financial Exchanges & Data,4,
Morgan Stanley,World Wise.,40,Morgan Stanley,Financials,Investment Banking & Brokerage,2,
Motorola Solutions Inc.,Helping customers be their best in the moments that matter,20,Motorola Solutions Inc.,Industrials,Communications Equipment,10,
Mylan N.V.,Seeing is believing,35,Mylan N.V.,Health Care,Pharmaceuticals,3,
NASDAQ OMX Group,Trade up.,40,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,2,
National Oilwell Varco Inc.,One Company Unlimited Solutions,10,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,4,
NDTV Profit , News you can Use.,25,,Consumer Discretionary,,,
NetApp,“Go further faster”,45,NetApp,Information Technology,Internet Software & Services,3,
Netflix Inc.,It just might bring everyone together,25,Netflix Inc.,Consumer Discretionary,Internet Software & Services,6,
Newell Rubbermaid Co.,“Brands That Matter”,25,Newell Brands,Consumer Discretionary,Housewares & Specialties,3,
Newfield Exploration Co,Balance of Exploration and Acquisitions,10,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,5,
Newmont Mining Corp. (Hldg. Co.),The Gold Company.,15,Newmont Mining Corporation,Materials,Gold,3,
News Corp. Class A,Fair & Balanced.,25,News Corp. Class A,Consumer Discretionary,Publishing,3,
News Corp. Class B,Fair & Balanced.,25,News Corp. Class B,Consumer Discretionary,Publishing,3,
NextEra Energy,We Heard You,55,NextEra Energy,Utilities,Multi-Utilities,3,
Nielsen Holdings,"What People Watch, Listen To and Buy",25,Nielsen Holdings,Consumer Discretionary,Research & Consulting Services,7,
Nike,Just Do It,25,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3,
Nikon, At the heart of the Image,25,,Consumer Discretionary,,,
NiSource Inc.,"Premier Safety, Reliability and Service.",55,NiSource Inc.,Utilities,Multi-Utilities,5,
Noble Energy Inc,"Energizing the World, Bettering People’s Lives",10,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,6,
Nokia, Connecting people,25,,Consumer Discretionary,,,
Nordstrom,Reinvent Yourself,25,Nordstrom,Consumer Discretionary,Department Stores,2,
Norfolk Southern Corp.,The Thoroughbred,20,Norfolk Southern Corp.,Industrials,Railroads,2,
Northern Trust Corp.,"You know your destination. You need a wise, caring advisor alongside you.",40,Northern Trust Corp.,Financials,Asset Management & Custody Banks,12,
Northrop Grumman Corp.,Defining the future.,20,Northrop Grumman Corp.,Industrials,Aerospace & Defense,3,
NRG Energy,We generate power.,55,NRG Energy,Utilities,Independent Power Producers & Energy Traders,3,
Nucor Corp.,It’s Our Nature,15,Nucor Corp.,Materials,Steel,3,
Nvidia Corporation,The Way It’s Meant to be Played,45,Nvidia Corporation,Information Technology,Semiconductors,7,
NYSE (New York Stock Exchange) , The world puts its stock in us,40,,Financials,,,
O’Reilly Automotive,Professional Part People,20,O'Reilly Automotive,Industrials,Specialty Stores,3,
OBC, Where every individual is committed,40,,Financials,,,
Occidental Petroleum,"Develop energy resources safely, profitably and responsibly.",10,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,7,
Omnicom Group,The only we can.The media agencies.,25,Omnicom Group,Consumer Discretionary,Advertising,6,
ONEOK,The ONE in energy,10,ONEOK,Energy,Oil & Gas Storage & Transportation,4,
ONGC , Making Tomorrow Brighter,10,ONGC - Oil and Natural Gas Corporation Limited,Energy,,,
Onida, Neighbor's envy,25,,Consumer Discretionary,,,
Oracle Corp.,Oracle is THE information company,45,Oracle Corp.,Information Technology,Application Software,5,
PACCAR Inc.,The World’s Best,20,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,3,
Parker-Hannifin,Engineering YOUR success,20,Parker-Hannifin,Industrials,Industrial Machinery,3,
Paychex Inc.,Payroll. HR. Retirement. Insurance,45,Paychex Inc.,Information Technology,Internet Software & Services,4,
PayPal,The safer way to pay online,40,PayPal,Financials,Data Processing & Outsourced Services,6,
Pentair Ltd.,Pentair water.,20,Pentair plc,Industrials,Industrial Machinery,2,
People’s United Financial,Everything Starts With You,40,People's United Financial,Financials,Thrifts & Mortgage Finance,4,
PepsiCo Inc.,Pepsi. It’s the cola.,30,PepsiCo Inc.,Consumer Staples,Soft Drinks,4,
PerkinElmer,For the Better,35,PerkinElmer,Health Care,Health Care Equipment,3,
Perrigo,Quality Affordable Healthcare Products,35,Perrigo,Health Care,Pharmaceuticals,4,
Pfizer Inc.,Pfizer Quality.,35,Pfizer Inc.,Health Care,Pharmaceuticals,2,
PG&E Corp.,Climate Smart,55,PG&E Corp.,Utilities,Multi-Utilities,2,
Philip Morris International,Looks To The Future,25,Philip Morris International,Consumer Discretionary,Tobacco,4,
PHILLIPS , Sense and Simplicity,25,,Consumer Discretionary,,,
Phillips 66,Proud To Be Here,10,Phillips 66,Energy,Oil & Gas Refining & Marketing,4,
Pinnacle West Capital,"Creating a sustainable energy future 
for Arizona.",55,Pinnacle West Capital,Utilities,Multi-Utilities,5,
Pioneer Natural Resources,Creativity Beyond Imagination,10,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,3,
PNC Financial Services,Leading the Way.,40,PNC Financial Services,Financials,Regional Banks,3,
Polo Ralph Lauren Corp.,World of Ralph Lauren,25,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4,
PPG Industries,We protect and beautify the world,15,PPG Industries,Materials,Specialty Chemicals,6,
PPL Corp.,We’ll Be There When The Light Goes On,55,PPL Corp.,Utilities,Electric Utilities,8,
Praxair Inc.,MAKING OUR PLANET MORE PRODUCTIVE,15,Praxair Inc.,Materials,Industrial Gases,5,
Principal Financial Group,We’ll Give You an Edge.,40,Principal Financial Group,Financials,Life & Health Insurance,5,
Procter & Gamble,"Touching lives, improving life",30,Procter & Gamble,Consumer Staples,Personal Products,4,
Progressive Corp.,"It’s about you, and it’s about time.",40,Progressive Corp.,Financials,Property & Casualty Insurance,7,
Prologis,The strategic partner for Global trade,60,Prologis,Real Estate,Industrial REITs,6,
Prudential Financial,Bring Your Challenges,40,Prudential Financial,Financials,Life & Health Insurance,3,
Prudential Insurance Company , Growing and Protecting your wealth,40,,Financials,,,
Public Serv. Enterprise Inc.,We make things work for you,55,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,6,
Public Storage,Real storage expert.,60,Public Storage,Real Estate,Specialized REITs,3,
Pulte Homes Inc.,It’s our philosophy. It’s the way we do business,25,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,9,
PVH Corp.,The Way Forward: Evolve Everyday,25,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",5,
Qorvo,“All Around You”,45,Qorvo,Information Technology,Semiconductors,3,
QUALCOMM Inc.,Enabling the Wireless Industry,45,QUALCOMM Inc.,Information Technology,Semiconductors,4,
Quanta Services Inc.,Leadership in Performance and Safety,20,Quanta Services Inc.,Industrials,Construction & Engineering,5,
Quest Diagnostics,The patient comes first,35,Quest Diagnostics,Health Care,Health Care Services,4,
Raymond James Financial,llife well planned,40,,Financials,Investment Banking & Brokerage,,
Raytheon Co.,Customer Success is our mission,20,Raytheon Co.,Industrials,Aerospace & Defense,5,
Realty Income Corporation,The Monthly Dividend Company,60,Realty Income Corporation,Real Estate,Retail REITs,4,
Red Hat Inc.,We’re stronger together,45,Red Hat Inc.,Information Technology,Systems Software,3,
Regeneron,Science to medicine.,35,Regeneron,Health Care,Biotechnology,3,
Regions Financial Corp.,You can expect more stability.,40,Regions Financial Corp.,Financials,Regional Banks,5,
Reid and Taylor,Bond with the Best,25,,Consumer Discretionary,,,
Republic Services Inc,Think Green,20,Republic Services Inc,Industrials,Environmental & Facilities Services,2,
Robert Half International,Innovation and Excellence in consulting and staffing,20,Robert Half International,Industrials,Human Resource & Employment Services,7,
Rockwell Automation Inc.,Listen. Think. Solve.,20,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,3,
Rockwell Collins,Building trust everyday,20,Rockwell Collins,Industrials,Aerospace & Defense,3,
Roper Industries,Simple Ideas. Powerful Results.,20,Roper Technologies,Industrials,Industrial Conglomerates,4,
Ross Stores,Dress for Less.,25,Ross Stores,Consumer Discretionary,Apparel Retail,3,
Royal Caribbean Cruises Ltd,Get Out There,25,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",3,
Salesforce.com,Success on Demand,45,Salesforce.com,Information Technology,Internet Software & Services,3,
Samsonite,Life's a Journey,25,,Consumer Discretionary,,,
SAMSUNG ,imagine the amazing things we can buid,25,,Consumer Discretionary,,,
SANSUI ,Better than the Best,25,,Consumer Discretionary,,,
SCANA Corp,Power for Living,55,SCANA Corp,Utilities,Multi-Utilities,3,
Schlumberger Ltd.,Excellence in Execution,10,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,3,
Seagate Technology,“We turn on ideas”,45,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",4,
Sealed Air Corp.(New),Our Products protect your Products,15,Sealed Air,Materials,Paper Packaging,5,
Sempra Energy,For every day life,55,Sempra Energy,Utilities,Multi-Utilities,4,
Sherwin-Williams,Ask Sherwin-Williams,15,Sherwin-Williams,Materials,Specialty Chemicals,2,
Simon Property Group Inc,Self administered and self managed real estate investment trust,60,Simon Property Group Inc,Real Estate,Retail REITs,9,
Singapore Airlines, A GREAT WAY TO FLY,20,,Industrials,,,
Singapore Stock Exchange (SGX) , Tomorrow Market's Today.,40,,Financials,,,
SKODA , Obsessed with Quality since 1897.,25,,Consumer Discretionary,,,
Skyworks Solutions,Breakthrough Simplicity,45,Skyworks Solutions,Information Technology,Semiconductors,2,
SL Green Realty,Demanding Quality. Delivering Value.,60,SL Green Realty,Real Estate,Office REITs,4,
Snap-On Inc.,Being a Pro Matters,25,Snap-On Inc.,Consumer Discretionary,Household Appliances,4,
SONY ,BE MOVED,25,,Consumer Discretionary,,,
Southern Co.,Smart Energy. Smart Grid. Smart Choices.,55,Southern Co.,Utilities,Electric Utilities,6,
Southwest Airlines,Low fares. Nothing to hide. That's Transfarency,20,Southwest Airlines,Industrials,Airlines,4,
Spice Jet, Flying for everyone,20,,Industrials,,,
Standard Chartered Bank , Your Right Partner,40,,Financials,,,
Standard Insurance Company Limited. , Positively Different.,40,,Financials,,,
Stanley Black & Decker,Performance in Action,25,Stanley Black & Decker,Consumer Discretionary,Household Appliances,3,
Starbucks Corp.,Romancing the bean,25,Starbucks Corp.,Consumer Discretionary,Restaurants,3,
Starwood Hotels & Resorts,Who’s taking care of you,25,,Consumer Discretionary,,,
State Street Corp.,Passionate about our client’s success.,40,State Street Corp.,Financials,Asset Management & Custody Banks,5,
Stericycle Inc,Protecting People. Reducing Risk.,20,Stericycle Inc,Industrials,Environmental & Facilities Services,4,
Stryker Corp.,We make a difference,35,Stryker Corp.,Health Care,Health Care Equipment,4,
SunTrust Banks,Live Solid. Bank Solid. SunTrust.,40,SunTrust Banks,Financials,Regional Banks,5,
SUZLON ENERGY , Powering a Greener Tomorrow.,10,,Energy,,,
Symantec Corp.,Confidence in a connected world.,45,Symantec Corp.,Information Technology,Application Software,5,
Synchrony Financial,Engage With Us,40,Synchrony Financial,Financials,Consumer Finance,3,
Sysco Corp.,Good things come from Sysco,45,Sysco Corp.,Information Technology,Food Distributors,5,
T. Rowe Price Group,Invest With Confidence,40,T. Rowe Price Group,Financials,Asset Management & Custody Banks,3,
Target Corp.,Expect More. Pay Less.,25,Target Corp.,Consumer Discretionary,General Merchandise Stores,4,
Tata Indicom, Talk as you pay,50,,Telecommunication Services,,,
TATA MOTORS , Even More Car per Car,25,,Consumer Discretionary,,,
TE Connectivity Ltd.,Every Connection Counts,45,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,3,
TESCO , Every Little Helps,30,,Consumer Staples,,,
Texas Instruments,Technology for Innovators,45,Texas Instruments,Information Technology,Semiconductors,3,
Textron Inc.,Reaching new heights.,20,Textron Inc.,Industrials,Aerospace & Defense,3,
Thai Airways, SMOOTH AS SILK,20,,Industrials,,,
The Bank of New York Mellon Corp.,The Investments Company for the World,40,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,6,
The Clorox Company,"We make everyday life better, every day",25, ,Consumer Discretionary, ,7,
The Coca Cola Company,Things go better with Coke.,30,Coca-Cola Company (The),Consumer Staples,Soft Drinks,5,
THE DAILY TELEGRAPH , Read a Bestseller everyday ,25,,Consumer Discretionary,,,
The Hershey Company,The Sweetest Taste on Earth,30,  ,Consumer Staples,Packaged Foods & Meats,5,
