COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
Autodesk Inc,Design your world.,45,Autodesk Inc.,Information Technology,Application Software,3,
Automatic Data Processing,The Business behind business.,45,Automatic Data Processing,Information Technology,Internet Software & Services,4,
AutoNation Inc,Driven to be the best,25,AutoNation Inc,Consumer Discretionary,,5,
AutoZone Inc,Get in the Zone,25,AutoZone Inc,Consumer Discretionary,Specialty Stores,4,
Avago Technologies,"Your Imagination, Our innovation",25,Avago Technologies,Consumer Discretionary,,4,
"AvalonBay Communities, Inc.",Appreciating value,60,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,2,
Avery Dennison Corp,"Inspired Brands, Intelligent World",20,Avery Dennison Corp,Industrials,Paper Packaging,4,
Avis Rental Cars,We Try Harder,25,,Consumer Discretionary,,,
Bajaj, Auto Inspiring Confidence,20,,Industrials,,,
Baker Hughes Inc,"Enabling safe, affordable energy, improving people’s lives",10,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,7,
Ball Corp,Products that reflect an innovation mindset.,15,Ball Corp,Materials,Metal & Glass Containers,6,
Bank of America Corp,Think what we can do for you,40,Bank of America Corp,Financials,Diversified Banks,7,
Barclays , Fluent in Finance; Its our business to know your business,40,,Financials,,,
Bard (C.R.) Inc.,Advancing Lives and the Delivery of Health Care,35,Bard (C.R.) Inc.,Health Care,,8,
Baxalta,"Your Life, Our Inspiration",35,Baxalta,Health Care,,4,
Baxter International Inc.,Making a meaningful difference in patients’ lives,35,Baxter International Inc.,Health Care,Health Care Equipment,7,
BB&T Corporation,More than writing checks or making deposits…,40,BB&T Corporation,Financials,Regional Banks,7,
Be Fearless. , SYMANTEC,45,,Information Technology,,,
Becton Dickinson,Helping all people live healthy lives,35,Becton Dickinson,Health Care,Health Care Equipment,6,
Bed Bath & Beyond,Everything to Entertain,25,Bed Bath & Beyond,Consumer Discretionary,,3,
Berkshire Hathaway,The Customer Is Always Right!,40,Berkshire Hathaway,Financials,Multi-Sector Holdings,5,
Best Buy Co. Inc.,Expert Service. Unbeatable Price.,25,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,4,
BIOCON , The difference lies in our DNA,35,,Health Care,,,
BIOGEN IDEC Inc.,Transforming discovery into care.,35,Biogen Inc.,Health Care,Biotechnology,4,
BlackRock,Opportunity favors the prepared mind,40,BlackRock,Financials,Asset Management & Custody Banks,5,
Block H&R,You got people.,40,Block H&R,Financials,Consumer Finance,3,
BLOGGER.COM , Push Button Publishing,25,,Consumer Discretionary,,,
BLOOMINGDALES , Like no other store in the world,25,,Consumer Discretionary,,,
BluestarAC, BREATHE EASY,20,,Industrials,,,
BMW,The ultimate driving machine,20,https://www.bmwgroup.com/en.html,Industrials,,,
BMW , The Ultimate Driving Machine,20,,Industrials,,,
Boeing Company,Forever New Frontiers,20,Boeing Company,Industrials,Aerospace & Defense,3,
BorgWarner,Feel good about driving,20,BorgWarner,Industrials,Auto Parts & Equipment,4,
Bose Corporation,Better sound through research.,25,Bose Corporation,Consumer Discretionary,,,
Boston Properties,Experienced leadership.,60,Boston Properties,Real Estate,Office REITs,2,
Boston Scientific,Delivering what’s next.,35,Boston Scientific,Health Care,Health Care Equipment,3,
BPCL , Pure for Sure,10,,Energy,,,
Bristol-Myers Squibb,extending and enhancing human life,35,Bristol-Myers Squibb,Health Care,Health Care Distributors,5,
British airways , The Way to Fly.,20,,Industrials,,,
British Petroleum , Beyond Petroleum,10,,Energy,,,
British Rail,We're getting there.,25,British Rail,Consumer Discretionary,,,
Brooke Bond, Cheers your senses,30,,Consumer Staples,,,
Brown-Forman Corporation,We enrich the experience of life.,30,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,6,
Brylcreem,A little dab'll do ya!,25,Brylcreem,Consumer Discretionary,,,
BSNL, Connecting India,50,,Telecommunication Services,,,
Burger King,Aren't You Hungry for Burger King now?,25,Burger King,Consumer Discretionary,,,
Burger King,Have it your way.,25,Burger King,Consumer Discretionary,,,
Burger King,Home of the Whopper.,25,Burger King,Consumer Discretionary,,,
BUSINESS STANDARD, When you're sure,25,,Consumer Discretionary,,,
BUSINESS TODAY , For Managing Tomorrow,25,,Consumer Discretionary,,,
BUSINESS WORLD , Play the Game,25,,Consumer Discretionary,,,
C A, THE SOFTWARE THAT MANAGES e-BUSINESS,45,,Information Technology,,,
C. H. Robinson Worldwide,Get You There Faster.,20,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,4,
"CA, Inc.",Agility made possible,45,"CA, Inc.",Information Technology,Systems Software,3,
Cablevision Systems Corp.,Reach Out and Touch Someone.,25,Cablevision Systems Corp.,Consumer Discretionary,,5,
Cabot Oil & Gas,"Clean Energy, Stronger Communities",10,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,4,
Calvin Klein's Obsession,Between love and madness lies Obsession.,25,Calvin Klein's Obsession,Consumer Discretionary,,,
Camel cigarettes,I'd walk a mile for a Camel.,25,Camel cigarettes,Consumer Discretionary,,,
Cameron International Corp.,Raising Performance. Together.,20,Cameron International Corp.,Industrials,,3,
Campbell Soup,It’s Amazing What Soup Can Do!,30,Campbell Soup,Consumer Staples,Packaged Foods & Meats,6,
Campbell's Soup,M'm! M'm! Good!,30,Campbell's Soup,Consumer Staples,,,
Capital One Financial,What’s in your wallet?,40,Capital One Financial,Financials,Consumer Finance,4,
Cardinal Health Inc.,Essential to care,35,Cardinal Health Inc.,Health Care,Health Care Distributors,3,
Caribou Coffee,Life is short. Stay awake for it!,30,Caribou Coffee,Consumer Staples,,,
Carl's Jr.,"If it doesn't get all over the place, it doesn't belong in your face.",25,Carl's Jr.,Consumer Discretionary,,,
Carlsberg,Probably the best lager in the world.,30,Carlsberg,Consumer Staples,,,
Carmax Inc,The Way Car Buying Should Be,25,Carmax Inc,Consumer Discretionary,Specialty Stores,6,
Carnival Corp.,Fun For All. All For Fun,25,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6,
Cartoon Network,The Best Place for Cartoons.,25,Cartoon Network,Consumer Discretionary,,,
Caterpillar Inc.,Earthmoving solutions for today’s challenges.,20,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,5,
CBRE Group,Local Real Estate. Worldwide,60,CBRE Group,Real Estate,Real Estate Services,4,
CBS,We've got the touch.,25,CBS,Consumer Discretionary,Broadcasting,,
CBS Corp.,Only CBS,25,CBS Corp.,Consumer Discretionary,Broadcasting,2,
CEAT ,Making Mobility Safer and Smarter. Everyday,25,,Consumer Discretionary,,,
Celgene Corp.,Committed to improving the lives of patients worldwide,35,Celgene Corp.,Health Care,Biotechnology,8,
Centene Corporation,Better health outcomes at lower costs,35,Centene Corporation,Health Care,Managed Health Care,6,
CenterPoint Energy,Always there.,55,CenterPoint Energy,Utilities,Multi-Utilities,2,
CenturyLink Inc,Stronger Connected,50,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services,2,
Cerner,Anticipate Innovate Accelerate,45,Cerner,Information Technology,Health Care Technology,3,
CF Industries Holdings Inc,Where chemistry grows,15,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,3,
Charles Schwab Corporation,Helping investors help themselves,40,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,4,
Charmin,Please don’t squeeze the Charmin,25,,Consumer Discretionary,Household Products,,
Chesapeake Energy,Natural Gas Wins the Day,10,Chesapeake Energy,Energy,,5,
CHEVROLET AVEO , When Good is not good enough.,25,,Consumer Discretionary,,,
Chevron Corp.,"Finding newer, cleaner ways to power the world.",10,Chevron Corp.,Energy,Integrated Oil & Gas,8,
Chevron Corporation , Human Energy,10,,,,,
Chick-fil-A,Eat Mor Chikin!,25,Chick-fil-A,Consumer Discretionary,,,
CHIP , Intelligent Computing,45,,Information Technology,,,
Chipotle Mexican Grill,Food with integrity,25,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,3,
Chubb Limited,Chubb. Insured.,40,Chubb Limited,Financials,Property & Casualty Insurance,2,
Chuck E. Cheese's,Where a kid can be a kid.,25,Chuck E. Cheese's,Consumer Discretionary,,,
Church & Dwight,The Standard of Purity,25,Church & Dwight,Consumer Discretionary,Household Products,4,
CIGNA Corp.,A Business of Caring,35,CIGNA Corp.,Health Care,Managed Health Care,4,
Cimarex Energy,Stronger for Good Time and Bad,10,Cimarex Energy,Energy,Oil & Gas Exploration & Production,6,
Cincinnati Financial,Everything Insurance Should Be,40,Cincinnati Financial,Financials,Property & Casualty Insurance,4,
Cintas Corporation,Ready for the Workday,20,Cintas Corporation,Industrials,Diversified Support Services,4,
CIPLA , Caring for life,35,,Health Care,,,
Cisco Systems,Welcome To The Human Network,45,Cisco Systems,Information Technology,Communications Equipment,5,
Citibank,your city never sleeps,40,,Financials,,,
Citigroup Inc.,Where money lives,40,Citigroup Inc.,Financials,Diversified Banks,8,
Citizens Financial Group,Good Banking Is Good Citizenship,40,  ,Financials,Regional Banks,5,
Citrix Systems,Simplicity is power,40,Citrix Systems,Financials,,3,
CME Group Inc.,How The World Advances,40,CME Group Inc.,Financials,Financial Exchanges & Data,4,
CMS Energy,Count on Us.,55,CMS Energy,Utilities,Multi-Utilities,3,
CNBC , Profit from it,25,First in Business Worldwide,Consumer Discretionary,,,
Coach Inc.,Give her Coach,25,Coach Inc.,Consumer Discretionary,,3,
Coca-Cola,Always Coca-Cola.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Coca-Cola. Enjoy!,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Coke is it!,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Life tastes good.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Make It Real.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Open Happiness.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,Real.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,The Coke Side of Life.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,The pause that refreshes.,30,Coca-Cola,Consumer Staples,,,
Coca-Cola,The Real Thing,30,Coca-Cola,Consumer Staples,,,
Coca-Cola Enterprises,Things go better with Coke.,30,Coca-Cola,Consumer Staples, ,5,
Cognizant Technology Solutions,Keep Challenging,45,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,2,
Colgate-Palmolive,“World of Care”,25,Colgate-Palmolive,Consumer Discretionary,Household Products,3,
Columbia Pipeline Group Inc,"Significant Scale, Unparalleled Footprint",20,Columbia Pipeline Group Inc,Industrials,,4,
Comcast A Corp,Ready to work.,25,Comcast Corp.,Consumer Discretionary,Cable & Satellite,3,
Comerica Inc.,Committed to Business,40,Comerica Inc.,Financials,Diversified Banks,3,
CrOMPTRON and GREAVES , Everyday Solutions,10,,,,,
ConAgra Foods Inc.,ConAgra. The right kind of food company,30,Conagra Brands,Consumer Staples,Packaged Foods & Meats,7,
Concho Resources,Great Place To Work,10,Concho Resources,Energy,Oil & Gas Exploration & Production,4,
ConocoPhillips,Energy for tomorrow.,10,ConocoPhillips,Energy,Oil & Gas Exploration & Production,3,
Consolidated Edison,"Energy, efficiency, expertise",10,Consolidated Edison,Energy,Electric Utilities,3,
Constellation Brands,Tastes for life,30,Constellation Brands,Consumer Staples,Distillers & Vintners,3,
Corning Inc.,Discovering Beyond Imagination,20,Corning Inc.,Industrials,Electronic Components,3,
Corona,Every bubble's passed its fizzical.,30,Corona,Consumer Staples,Packaged Foods & Meats,,
Costco Co.,Simplifying home and life,30,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,4,
Council for Cable Information,"Cable. It's not just more choice, it's your choice.",25,Council for Cable Information,Consumer Discretionary,Cable & Satellite,,
Count Chocula,I vant to eat your cereal!,30,Count Chocula,Consumer Staples,,,
Cow's milk (for the California Milk Processor Board),Got Milk?,30,Cow's milk (for the California Milk Processor Board),Consumer Staples,,,
Cremo cigars by American Tobacco,There is no spit in Cremo!,30,Cremo cigars by American Tobacco,Consumer Staples,food beverage and tobacco,,
Crocodile, Tough Guys,25,,Consumer Discretionary,,,
Crown Castle International Corp.,Providing Wireless Infrastructure in Prime Locations,50,Crown Castle International Corp.,Telecommunication Services,Specialized REITs,6,
CSRA Inc.,Enduring Values. Inspired Performance.,45,CSRA Inc.,Information Technology,,4,
